日期,原线路,替代场地1,替代场地2,替代线路,分流货量
2023-01-18,DC38->DC5,DC38,DC8,DC38->DC8,2541.0
2023-01-18,DC4->DC5,DC4,DC23,DC4->DC23,12.0
2023-01-18,DC40->DC5,DC40,DC8,DC40->DC8,8.0
2023-01-18,DC42->DC5,DC42,DC35,DC42->DC35,382.0
2023-01-18,DC43->DC5,DC43,DC62,DC43->DC62,781.0
2023-01-18,DC44->DC5,DC44,DC14,DC44->DC14,2842.0
2023-01-18,DC46->DC5,DC46,DC14,DC46->DC14,1272.0
2023-01-18,DC47->DC5,DC47,DC14,DC47->DC14,1559.0
2023-01-18,DC48->DC5,DC48,DC8,DC48->DC8,1205.0
2023-01-18,DC5->DC10,DC7,DC10,DC7->DC10,153.0
2023-01-18,DC5->DC14,DC17,DC14,DC17->DC14,93.0
2023-01-18,DC5->DC4,DC30,DC4,DC30->DC4,1871.0
2023-01-18,DC5->DC62,DC23,DC62,DC23->DC62,110.0
2023-01-18,DC5->DC70,DC34,DC70,DC34->DC70,5.0
2023-01-18,DC5->DC8,DC48,DC8,DC48->DC8,6.0
2023-01-18,DC50->DC5,DC50,DC9,DC50->DC9,765.0
2023-01-18,DC51->DC5,DC51,DC8,DC51->DC8,3095.0
2023-01-18,DC52->DC5,DC52,DC8,DC52->DC8,59.0
2023-01-18,DC53->DC5,DC53,DC64,DC53->DC64,311.0
2023-01-18,DC55->DC5,DC55,DC8,DC55->DC8,41.0
2023-01-18,DC59->DC5,DC59,DC8,DC59->DC8,347.0
2023-01-18,DC60->DC5,DC60,DC14,DC60->DC14,1064.0
2023-01-18,DC62->DC5,DC62,DC8,DC62->DC8,4967.0
2023-01-18,DC68->DC5,DC68,DC14,DC68->DC14,100.0
2023-01-18,DC69->DC5,DC69,DC8,DC69->DC8,11.0
2023-01-18,DC7->DC5,DC7,DC10,DC7->DC10,173.0
2023-01-18,DC71->DC5,DC71,DC8,DC71->DC8,60.0
2023-01-18,DC73->DC5,DC73,DC14,DC73->DC14,3301.0
2023-01-18,DC8->DC5,DC8,DC10,DC8->DC10,7858.9999
2023-01-19,DC10->DC5,DC10,DC9,DC10->DC9,6677.0
2023-01-19,DC14->DC5,DC14,DC62,DC14->DC62,14935.0
2023-01-19,DC15->DC5,DC15,DC14,DC15->DC14,2772.0
2023-01-19,DC17->DC5,DC17,DC14,DC17->DC14,7850.0
2023-01-19,DC19->DC5,DC19,DC62,DC19->DC62,4914.0
2023-01-19,DC20->DC5,DC20,DC14,DC20->DC14,5268.0
2023-01-19,DC22->DC5,DC22,DC3,DC22->DC3,5153.0
2023-01-19,DC23->DC5,DC23,DC62,DC23->DC62,7507.0
2023-01-19,DC25->DC5,DC25,DC65,DC25->DC65,4804.0
2023-01-19,DC26->DC5,DC26,DC8,DC26->DC8,1226.0
2023-01-19,DC27->DC5,DC27,DC65,DC27->DC65,2363.0
2023-01-19,DC28->DC5,DC28,DC10,DC28->DC10,2101.0
2023-01-19,DC30->DC5,DC30,DC4,DC30->DC4,1513.0
2023-01-19,DC31->DC5,DC31,DC4,DC31->DC4,100.0
2023-01-19,DC34->DC5,DC34,DC70,DC34->DC70,8.0
2023-01-19,DC36->DC5,DC36,DC10,DC36->DC10,6817.0
2023-01-19,DC38->DC5,DC38,DC8,DC38->DC8,2491.0
2023-01-19,DC4->DC5,DC4,DC23,DC4->DC23,11.0
2023-01-19,DC40->DC5,DC40,DC8,DC40->DC8,8.0
2023-01-19,DC42->DC5,DC42,DC35,DC42->DC35,368.0
2023-01-19,DC43->DC5,DC43,DC62,DC43->DC62,748.0
2023-01-19,DC44->DC5,DC44,DC14,DC44->DC14,2769.0
2023-01-19,DC46->DC5,DC46,DC14,DC46->DC14,1255.0
2023-01-19,DC47->DC5,DC47,DC14,DC47->DC14,1386.0
2023-01-19,DC48->DC5,DC48,DC8,DC48->DC8,1103.0
2023-01-19,DC5->DC10,DC28,DC10,DC28->DC10,141.0
2023-01-19,DC5->DC14,DC68,DC14,DC68->DC14,79.0
2023-01-19,DC5->DC4,DC31,DC4,DC31->DC4,1579.0
2023-01-19,DC5->DC62,DC43,DC62,DC43->DC62,96.0
2023-01-19,DC5->DC70,DC34,DC70,DC34->DC70,6.0
2023-01-19,DC5->DC8,DC55,DC8,DC55->DC8,6.0
2023-01-19,DC50->DC5,DC50,DC9,DC50->DC9,663.0
2023-01-19,DC51->DC5,DC51,DC8,DC51->DC8,2911.0
2023-01-19,DC52->DC5,DC52,DC8,DC52->DC8,54.0
2023-01-19,DC53->DC5,DC53,DC64,DC53->DC64,295.0
2023-01-19,DC55->DC5,DC55,DC8,DC55->DC8,38.0
2023-01-19,DC59->DC5,DC59,DC8,DC59->DC8,305.0
2023-01-19,DC60->DC5,DC60,DC14,DC60->DC14,776.0
2023-01-19,DC62->DC5,DC62,DC8,DC62->DC8,4625.0
2023-01-19,DC68->DC5,DC68,DC14,DC68->DC14,92.0
2023-01-19,DC69->DC5,DC69,DC10,DC69->DC10,10.0
2023-01-19,DC7->DC5,DC7,DC10,DC7->DC10,150.0
2023-01-19,DC71->DC5,DC71,DC8,DC71->DC8,57.0
2023-01-19,DC73->DC5,DC73,DC4,DC73->DC4,2990.0
2023-01-19,DC8->DC5,DC8,DC10,DC8->DC10,7553.9999
2023-01-20,DC10->DC5,DC10,DC9,DC10->DC9,5641.0
2023-01-20,DC14->DC5,DC14,DC62,DC14->DC62,13057.0
2023-01-20,DC15->DC5,DC15,DC14,DC15->DC14,2466.0
2023-01-20,DC17->DC5,DC17,DC14,DC17->DC14,6283.0
2023-01-20,DC19->DC5,DC19,DC62,DC19->DC62,3778.0
2023-01-20,DC20->DC5,DC20,DC14,DC20->DC14,4449.0
2023-01-20,DC22->DC5,DC22,DC3,DC22->DC3,4380.0
2023-01-20,DC23->DC5,DC23,DC62,DC23->DC62,6224.0
2023-01-20,DC25->DC5,DC25,DC65,DC25->DC65,4089.0
2023-01-20,DC26->DC5,DC26,DC8,DC26->DC8,1069.0
2023-01-20,DC27->DC5,DC27,DC65,DC27->DC65,1924.0
2023-01-20,DC28->DC5,DC28,DC64,DC28->DC64,1450.0
2023-01-20,DC30->DC5,DC30,DC35,DC30->DC35,1357.0
2023-01-20,DC31->DC5,DC31,DC4,DC31->DC4,80.0
2023-01-20,DC34->DC5,DC34,DC10,DC34->DC10,6.0
2023-01-20,DC36->DC5,DC36,DC62,DC36->DC62,5322.0
2023-01-20,DC38->DC5,DC38,DC8,DC38->DC8,2111.0
2023-01-20,DC4->DC5,DC4,DC10,DC4->DC10,11.0
2023-01-20,DC40->DC5,DC40,DC70,DC40->DC70,6.0
2023-01-20,DC42->DC5,DC42,DC62,DC42->DC62,305.0
2023-01-20,DC43->DC5,DC43,DC4,DC43->DC4,632.0
2023-01-20,DC44->DC5,DC44,DC14,DC44->DC14,2224.0
2023-01-20,DC46->DC5,DC46,DC3,DC46->DC3,1190.0
2023-01-20,DC47->DC5,DC47,DC14,DC47->DC14,1399.0
2023-01-20,DC48->DC5,DC48,DC8,DC48->DC8,1044.0
2023-01-20,DC5->DC10,DC4,DC10,DC4->DC10,118.0
2023-01-20,DC5->DC14,DC55,DC14,DC55->DC14,69.0
2023-01-20,DC5->DC4,DC71,DC4,DC71->DC4,1405.0
2023-01-20,DC5->DC62,DC23,DC62,DC23->DC62,72.0
2023-01-20,DC5->DC70,DC40,DC70,DC40->DC70,5.0
2023-01-20,DC5->DC8,DC48,DC8,DC48->DC8,6.0
2023-01-20,DC50->DC5,DC50,DC4,DC50->DC4,554.0
2023-01-20,DC51->DC5,DC51,DC8,DC51->DC8,2312.0
2023-01-20,DC52->DC5,DC52,DC70,DC52->DC70,42.0
2023-01-20,DC53->DC5,DC53,DC10,DC53->DC10,244.0
2023-01-20,DC55->DC5,DC55,DC14,DC55->DC14,30.0
2023-01-20,DC59->DC5,DC59,DC10,DC59->DC10,249.0
2023-01-20,DC60->DC5,DC60,DC14,DC60->DC14,511.0
2023-01-20,DC62->DC5,DC62,DC8,DC62->DC8,3567.0
2023-01-20,DC68->DC5,DC68,DC70,DC68->DC70,72.0
2023-01-20,DC69->DC5,DC69,DC4,DC69->DC4,9.0
2023-01-20,DC7->DC5,DC7,DC8,DC7->DC8,135.0
2023-01-20,DC71->DC5,DC71,DC4,DC71->DC4,49.0
2023-01-20,DC73->DC5,DC73,DC14,DC73->DC14,2510.0
2023-01-20,DC8->DC5,DC8,DC62,DC8->DC62,6547.9999
2023-01-21,DC10->DC5,DC10,DC9,DC10->DC9,2061.0
2023-01-21,DC14->DC5,DC14,DC62,DC14->DC62,5869.0
2023-01-21,DC15->DC5,DC15,DC14,DC15->DC14,1263.0
2023-01-21,DC17->DC5,DC17,DC14,DC17->DC14,2747.0
2023-01-21,DC19->DC5,DC19,DC62,DC19->DC62,1245.0
2023-01-21,DC20->DC5,DC20,DC14,DC20->DC14,1827.0
2023-01-21,DC22->DC5,DC22,DC3,DC22->DC3,1372.0
2023-01-21,DC23->DC5,DC23,DC62,DC23->DC62,3175.0
2023-01-21,DC25->DC5,DC25,DC65,DC25->DC65,1290.0
2023-01-21,DC26->DC5,DC26,DC8,DC26->DC8,614.0
2023-01-21,DC27->DC5,DC27,DC65,DC27->DC65,795.0
2023-01-21,DC28->DC5,DC28,DC64,DC28->DC64,819.0
2023-01-21,DC30->DC5,DC30,DC4,DC30->DC4,939.0
2023-01-21,DC31->DC5,DC31,DC4,DC31->DC4,42.0
2023-01-21,DC34->DC5,DC34,DC70,DC34->DC70,5.0
2023-01-21,DC36->DC5,DC36,DC62,DC36->DC62,1940.0
2023-01-21,DC38->DC5,DC38,DC8,DC38->DC8,892.0
2023-01-21,DC4->DC5,DC4,DC23,DC4->DC23,10.0
2023-01-21,DC40->DC5,DC40,DC10,DC40->DC10,5.0
2023-01-21,DC42->DC5,DC42,DC35,DC42->DC35,199.0
2023-01-21,DC43->DC5,DC43,DC62,DC43->DC62,468.0
2023-01-21,DC44->DC5,DC44,DC14,DC44->DC14,1282.0
2023-01-21,DC46->DC5,DC46,DC3,DC46->DC3,774.0
2023-01-21,DC47->DC5,DC47,DC14,DC47->DC14,853.0
2023-01-21,DC48->DC5,DC48,DC8,DC48->DC8,681.0
2023-01-21,DC5->DC10,DC7,DC10,DC7->DC10,77.0
2023-01-21,DC5->DC14,DC17,DC14,DC17->DC14,45.0
2023-01-21,DC5->DC4,DC30,DC4,DC30->DC4,1082.0
2023-01-21,DC5->DC62,DC23,DC62,DC23->DC62,47.0
2023-01-21,DC5->DC70,DC34,DC70,DC34->DC70,4.0
2023-01-21,DC5->DC8,DC38,DC8,DC38->DC8,5.0
2023-01-21,DC50->DC5,DC50,DC9,DC50->DC9,390.0
2023-01-21,DC51->DC5,DC51,DC8,DC51->DC8,1339.0
2023-01-21,DC52->DC5,DC52,DC8,DC52->DC8,32.0
2023-01-21,DC53->DC5,DC53,DC64,DC53->DC64,98.0
2023-01-21,DC55->DC5,DC55,DC8,DC55->DC8,18.0
2023-01-21,DC59->DC5,DC59,DC8,DC59->DC8,102.0
2023-01-21,DC60->DC5,DC60,DC14,DC60->DC14,275.0
2023-01-21,DC62->DC5,DC62,DC10,DC62->DC10,1066.0
2023-01-21,DC68->DC5,DC68,DC14,DC68->DC14,49.0
2023-01-21,DC69->DC5,DC69,DC10,DC69->DC10,3.0
2023-01-21,DC7->DC5,DC7,DC10,DC7->DC10,79.0
2023-01-21,DC71->DC5,DC71,DC8,DC71->DC8,41.0
2023-01-21,DC73->DC5,DC73,DC14,DC73->DC14,953.0
2023-01-21,DC8->DC5,DC8,DC62,DC8->DC62,3125.0
2023-01-22,DC10->DC5,DC10,DC9,DC10->DC9,2249.0
2023-01-22,DC14->DC5,DC14,DC62,DC14->DC62,7338.0
2023-01-22,DC15->DC5,DC15,DC14,DC15->DC14,1713.0
2023-01-22,DC17->DC5,DC17,DC14,DC17->DC14,3650.0
2023-01-22,DC19->DC5,DC19,DC62,DC19->DC62,2120.0
2023-01-22,DC20->DC5,DC20,DC14,DC20->DC14,2522.0
2023-01-22,DC22->DC5,DC22,DC3,DC22->DC3,2191.0
2023-01-22,DC23->DC5,DC23,DC62,DC23->DC62,3527.0
2023-01-22,DC25->DC5,DC25,DC65,DC25->DC65,2129.0
2023-01-22,DC26->DC5,DC26,DC8,DC26->DC8,860.0
2023-01-22,DC27->DC5,DC27,DC65,DC27->DC65,1101.0
2023-01-22,DC28->DC5,DC28,DC64,DC28->DC64,1024.0
2023-01-22,DC30->DC5,DC30,DC35,DC30->DC35,1002.0
2023-01-22,DC31->DC5,DC31,DC4,DC31->DC4,36.0
2023-01-22,DC34->DC5,DC34,DC70,DC34->DC70,6.0
2023-01-22,DC36->DC5,DC36,DC62,DC36->DC62,2476.0
2023-01-22,DC38->DC5,DC38,DC8,DC38->DC8,1170.0
2023-01-22,DC4->DC5,DC4,DC23,DC4->DC23,9.0
2023-01-22,DC40->DC5,DC40,DC8,DC40->DC8,8.0
2023-01-22,DC42->DC5,DC42,DC35,DC42->DC35,204.0
2023-01-22,DC43->DC5,DC43,DC62,DC43->DC62,595.0
2023-01-22,DC44->DC5,DC44,DC14,DC44->DC14,1911.0
2023-01-22,DC46->DC5,DC46,DC3,DC46->DC3,959.0
2023-01-22,DC47->DC5,DC47,DC14,DC47->DC14,929.0
2023-01-22,DC48->DC5,DC48,DC8,DC48->DC8,877.0
2023-01-22,DC5->DC10,DC7,DC10,DC7->DC10,93.0
2023-01-22,DC5->DC14,DC60,DC14,DC60->DC14,49.0
2023-01-22,DC5->DC4,DC73,DC4,DC73->DC4,1588.0
2023-01-22,DC5->DC62,DC19,DC62,DC19->DC62,43.0
2023-01-22,DC5->DC70,DC34,DC70,DC34->DC70,4.0
2023-01-22,DC5->DC8,DC71,DC8,DC71->DC8,6.0
2023-01-22,DC50->DC5,DC50,DC9,DC50->DC9,495.0
2023-01-22,DC51->DC5,DC51,DC8,DC51->DC8,1733.0
2023-01-22,DC52->DC5,DC52,DC8,DC52->DC8,36.0
2023-01-22,DC53->DC5,DC53,DC64,DC53->DC64,100.0
2023-01-22,DC55->DC5,DC55,DC8,DC55->DC8,24.0
2023-01-22,DC59->DC5,DC59,DC8,DC59->DC8,101.0
2023-01-22,DC60->DC5,DC60,DC14,DC60->DC14,304.0
2023-01-22,DC62->DC5,DC62,DC14,DC62->DC14,1510.0
2023-01-22,DC68->DC5,DC68,DC10,DC68->DC10,47.0
2023-01-22,DC69->DC5,DC69,DC10,DC69->DC10,2.0
2023-01-22,DC7->DC5,DC7,DC10,DC7->DC10,107.0
2023-01-22,DC71->DC5,DC71,DC8,DC71->DC8,41.0
2023-01-22,DC73->DC5,DC73,DC4,DC73->DC4,1295.0
2023-01-22,DC8->DC5,DC8,DC62,DC8->DC62,3970.0
2023-01-23,DC10->DC5,DC10,DC9,DC10->DC9,3534.0
2023-01-23,DC14->DC5,DC14,DC62,DC14->DC62,7790.0
2023-01-23,DC15->DC5,DC15,DC14,DC15->DC14,1843.0
2023-01-23,DC17->DC5,DC17,DC14,DC17->DC14,3390.0
2023-01-23,DC19->DC5,DC19,DC62,DC19->DC62,2327.0
2023-01-23,DC20->DC5,DC20,DC14,DC20->DC14,3558.0
2023-01-23,DC22->DC5,DC22,DC3,DC22->DC3,3749.0
2023-01-23,DC23->DC5,DC23,DC62,DC23->DC62,3483.0
2023-01-23,DC25->DC5,DC25,DC65,DC25->DC65,2865.0
2023-01-23,DC26->DC5,DC26,DC8,DC26->DC8,870.0
2023-01-23,DC27->DC5,DC27,DC65,DC27->DC65,1358.0
2023-01-23,DC28->DC5,DC28,DC64,DC28->DC64,1048.0
2023-01-23,DC30->DC5,DC30,DC4,DC30->DC4,843.0
2023-01-23,DC31->DC5,DC31,DC4,DC31->DC4,51.0
2023-01-23,DC34->DC5,DC34,DC4,DC34->DC4,6.0
2023-01-23,DC36->DC5,DC36,DC62,DC36->DC62,3317.0
2023-01-23,DC38->DC5,DC38,DC70,DC38->DC70,1589.0
2023-01-23,DC4->DC5,DC4,DC23,DC4->DC23,8.0
2023-01-23,DC40->DC5,DC40,DC8,DC40->DC8,8.0
2023-01-23,DC42->DC5,DC42,DC35,DC42->DC35,234.0
2023-01-23,DC43->DC5,DC43,DC62,DC43->DC62,772.0
2023-01-23,DC44->DC5,DC44,DC14,DC44->DC14,1977.0
2023-01-23,DC46->DC5,DC46,DC3,DC46->DC3,858.0
2023-01-23,DC47->DC5,DC47,DC14,DC47->DC14,936.0
2023-01-23,DC48->DC5,DC48,DC8,DC48->DC8,839.0
2023-01-23,DC5->DC10,DC68,DC10,DC68->DC10,87.0
2023-01-23,DC5->DC14,DC17,DC14,DC17->DC14,51.0
2023-01-23,DC5->DC4,DC31,DC4,DC31->DC4,1565.0
2023-01-23,DC5->DC62,DC19,DC62,DC19->DC62,41.0
2023-01-23,DC5->DC70,DC38,DC70,DC38->DC70,4.0
2023-01-23,DC5->DC8,DC48,DC8,DC48->DC8,6.0
2023-01-23,DC50->DC5,DC50,DC9,DC50->DC9,518.0
2023-01-23,DC51->DC5,DC51,DC8,DC51->DC8,1965.0
2023-01-23,DC52->DC5,DC52,DC8,DC52->DC8,43.0
2023-01-23,DC53->DC5,DC53,DC64,DC53->DC64,91.0
2023-01-23,DC55->DC5,DC55,DC8,DC55->DC8,19.0
2023-01-23,DC59->DC5,DC59,DC8,DC59->DC8,96.0
2023-01-23,DC60->DC5,DC60,DC14,DC60->DC14,371.0
2023-01-23,DC62->DC5,DC62,DC14,DC62->DC14,1817.0
2023-01-23,DC68->DC5,DC68,DC10,DC68->DC10,39.0
2023-01-23,DC69->DC5,DC69,DC10,DC69->DC10,2.0
2023-01-23,DC7->DC5,DC7,DC8,DC7->DC8,106.0
2023-01-23,DC71->DC5,DC71,DC8,DC71->DC8,47.0
2023-01-23,DC73->DC5,DC73,DC14,DC73->DC14,1804.0
2023-01-23,DC8->DC5,DC8,DC62,DC8->DC62,4790.0
2023-01-24,DC10->DC5,DC10,DC9,DC10->DC9,4230.0
2023-01-24,DC14->DC5,DC14,DC62,DC14->DC62,9030.0
2023-01-24,DC15->DC5,DC15,DC14,DC15->DC14,1850.0
2023-01-24,DC17->DC5,DC17,DC14,DC17->DC14,4487.0
2023-01-24,DC19->DC5,DC19,DC62,DC19->DC62,2953.0
2023-01-24,DC20->DC5,DC20,DC14,DC20->DC14,3904.0
2023-01-24,DC22->DC5,DC22,DC3,DC22->DC3,3956.0
2023-01-24,DC23->DC5,DC23,DC62,DC23->DC62,4483.0
2023-01-24,DC25->DC5,DC25,DC65,DC25->DC65,3709.0
2023-01-24,DC26->DC5,DC26,DC8,DC26->DC8,850.0
2023-01-24,DC27->DC5,DC27,DC65,DC27->DC65,1681.0
2023-01-24,DC28->DC5,DC28,DC64,DC28->DC64,1125.0
2023-01-24,DC30->DC5,DC30,DC4,DC30->DC4,885.0
2023-01-24,DC31->DC5,DC31,DC4,DC31->DC4,46.0
2023-01-24,DC34->DC5,DC34,DC4,DC34->DC4,6.0
2023-01-24,DC36->DC5,DC36,DC62,DC36->DC62,3932.0
2023-01-24,DC38->DC5,DC38,DC8,DC38->DC8,1870.0
2023-01-24,DC4->DC5,DC4,DC23,DC4->DC23,8.0
2023-01-24,DC40->DC5,DC40,DC8,DC40->DC8,8.0
2023-01-24,DC42->DC5,DC42,DC35,DC42->DC35,238.0
2023-01-24,DC43->DC5,DC43,DC62,DC43->DC62,765.0
2023-01-24,DC44->DC5,DC44,DC14,DC44->DC14,2105.0
2023-01-24,DC46->DC5,DC46,DC3,DC46->DC3,898.0
2023-01-24,DC47->DC5,DC47,DC14,DC47->DC14,944.0
2023-01-24,DC48->DC5,DC48,DC8,DC48->DC8,873.0
2023-01-24,DC5->DC10,DC7,DC10,DC7->DC10,87.0
2023-01-24,DC5->DC14,DC60,DC14,DC60->DC14,50.0
2023-01-24,DC5->DC4,DC31,DC4,DC31->DC4,1668.0
2023-01-24,DC5->DC62,DC23,DC62,DC23->DC62,41.0
2023-01-24,DC5->DC70,DC71,DC70,DC71->DC70,5.0
2023-01-24,DC5->DC8,DC51,DC8,DC51->DC8,6.0
2023-01-24,DC50->DC5,DC50,DC9,DC50->DC9,471.0
2023-01-24,DC51->DC5,DC51,DC8,DC51->DC8,2084.0
2023-01-24,DC52->DC5,DC52,DC8,DC52->DC8,45.0
2023-01-24,DC53->DC5,DC53,DC64,DC53->DC64,87.0
2023-01-24,DC55->DC5,DC55,DC8,DC55->DC8,20.0
2023-01-24,DC59->DC5,DC59,DC8,DC59->DC8,92.0
2023-01-24,DC60->DC5,DC60,DC14,DC60->DC14,296.0
2023-01-24,DC62->DC5,DC62,DC14,DC62->DC14,2141.0
2023-01-24,DC68->DC5,DC68,DC10,DC68->DC10,39.0
2023-01-24,DC69->DC5,DC69,DC10,DC69->DC10,2.0
2023-01-24,DC7->DC5,DC7,DC10,DC7->DC10,109.0
2023-01-24,DC71->DC5,DC71,DC70,DC71->DC70,45.0
2023-01-24,DC73->DC5,DC73,DC14,DC73->DC14,2014.0
2023-01-24,DC8->DC5,DC8,DC62,DC8->DC62,7006.0
2023-01-25,DC10->DC5,DC10,DC9,DC10->DC9,4887.0
2023-01-25,DC14->DC5,DC14,DC62,DC14->DC62,12647.0
2023-01-25,DC15->DC5,DC15,DC14,DC15->DC14,1920.0
2023-01-25,DC17->DC5,DC17,DC14,DC17->DC14,7113.0
2023-01-25,DC19->DC5,DC19,DC62,DC19->DC62,3501.0
2023-01-25,DC20->DC5,DC20,DC14,DC20->DC14,4532.0
2023-01-25,DC22->DC5,DC22,DC3,DC22->DC3,4916.0
2023-01-25,DC23->DC5,DC23,DC62,DC23->DC62,6981.0
2023-01-25,DC25->DC5,DC25,DC65,DC25->DC65,3918.0
2023-01-25,DC26->DC5,DC26,DC8,DC26->DC8,983.0
2023-01-25,DC27->DC5,DC27,DC65,DC27->DC65,1790.0
2023-01-25,DC28->DC5,DC28,DC64,DC28->DC64,1494.0
2023-01-25,DC30->DC5,DC30,DC35,DC30->DC35,966.0
2023-01-25,DC31->DC5,DC31,DC4,DC31->DC4,49.0
2023-01-25,DC34->DC5,DC34,DC70,DC34->DC70,8.0
2023-01-25,DC36->DC5,DC36,DC62,DC36->DC62,4585.0
2023-01-25,DC38->DC5,DC38,DC8,DC38->DC8,1974.0
2023-01-25,DC4->DC5,DC4,DC23,DC4->DC23,8.0
2023-01-25,DC40->DC5,DC40,DC8,DC40->DC8,9.0
2023-01-25,DC42->DC5,DC42,DC35,DC42->DC35,263.0
2023-01-25,DC43->DC5,DC43,DC62,DC43->DC62,745.0
2023-01-25,DC44->DC5,DC44,DC14,DC44->DC14,2122.0
2023-01-25,DC46->DC5,DC46,DC3,DC46->DC3,913.0
2023-01-25,DC47->DC5,DC47,DC14,DC47->DC14,1048.0
2023-01-25,DC48->DC5,DC48,DC4,DC48->DC4,934.0
2023-01-25,DC5->DC10,DC68,DC10,DC68->DC10,102.0
2023-01-25,DC5->DC14,DC17,DC14,DC17->DC14,54.0
2023-01-25,DC5->DC4,DC31,DC4,DC31->DC4,1648.0
2023-01-25,DC5->DC62,DC36,DC62,DC36->DC62,44.0
2023-01-25,DC5->DC70,DC34,DC70,DC34->DC70,6.0
2023-01-25,DC5->DC8,DC59,DC8,DC59->DC8,6.0
2023-01-25,DC50->DC5,DC50,DC9,DC50->DC9,587.0
2023-01-25,DC51->DC5,DC51,DC8,DC51->DC8,2171.0
2023-01-25,DC52->DC5,DC52,DC8,DC52->DC8,46.0
2023-01-25,DC53->DC5,DC53,DC64,DC53->DC64,104.0
2023-01-25,DC55->DC5,DC55,DC8,DC55->DC8,20.0
2023-01-25,DC59->DC5,DC59,DC8,DC59->DC8,108.0
2023-01-25,DC60->DC5,DC60,DC14,DC60->DC14,361.0
2023-01-25,DC62->DC5,DC62,DC14,DC62->DC14,2197.0
2023-01-25,DC68->DC5,DC68,DC10,DC68->DC10,38.0
2023-01-25,DC69->DC5,DC69,DC10,DC69->DC10,4.0
2023-01-25,DC7->DC5,DC7,DC10,DC7->DC10,123.0
2023-01-25,DC71->DC5,DC71,DC8,DC71->DC8,43.0
2023-01-25,DC73->DC5,DC73,DC4,DC73->DC4,2096.0
2023-01-25,DC8->DC5,DC8,DC10,DC8->DC10,7179.0
2023-01-26,DC10->DC5,DC10,DC4,DC10->DC4,6082.0
2023-01-26,DC14->DC5,DC14,DC62,DC14->DC62,12276.0
2023-01-26,DC15->DC5,DC15,DC10,DC15->DC10,1897.0
2023-01-26,DC17->DC5,DC17,DC14,DC17->DC14,7223.0
2023-01-26,DC19->DC5,DC19,DC4,DC19->DC4,3777.0
2023-01-26,DC20->DC5,DC20,DC4,DC20->DC4,5400.0
2023-01-26,DC22->DC5,DC22,DC70,DC22->DC70,4937.0
2023-01-26,DC23->DC5,DC23,DC62,DC23->DC62,6475.0
2023-01-26,DC25->DC5,DC25,DC4,DC25->DC4,4113.0
2023-01-26,DC26->DC5,DC26,DC62,DC26->DC62,949.0
2023-01-26,DC27->DC5,DC27,DC14,DC27->DC14,1803.0
2023-01-26,DC28->DC5,DC28,DC62,DC28->DC62,1686.0
2023-01-26,DC30->DC5,DC30,DC62,DC30->DC62,966.0
2023-01-26,DC31->DC5,DC31,DC62,DC31->DC62,63.0
2023-01-26,DC34->DC5,DC34,DC70,DC34->DC70,8.0
2023-01-26,DC36->DC5,DC36,DC4,DC36->DC4,5778.0
2023-01-26,DC38->DC5,DC38,DC62,DC38->DC62,1941.0
2023-01-26,DC4->DC5,DC4,DC14,DC4->DC14,9.0
2023-01-26,DC40->DC5,DC40,DC62,DC40->DC62,8.0
2023-01-26,DC42->DC5,DC42,DC14,DC42->DC14,304.0
2023-01-26,DC43->DC5,DC43,DC10,DC43->DC10,824.0
2023-01-26,DC44->DC5,DC44,DC62,DC44->DC62,2139.0
2023-01-26,DC46->DC5,DC46,DC62,DC46->DC62,917.0
2023-01-26,DC47->DC5,DC47,DC14,DC47->DC14,1114.0
2023-01-26,DC48->DC5,DC48,DC62,DC48->DC62,903.0
2023-01-26,DC5->DC10,DC73,DC10,DC73->DC10,104.0
2023-01-26,DC5->DC14,DC4,DC14,DC4->DC14,62.0
2023-01-26,DC5->DC4,DC36,DC4,DC36->DC4,1577.0
2023-01-26,DC5->DC62,DC40,DC62,DC40->DC62,48.0
2023-01-26,DC5->DC70,DC34,DC70,DC34->DC70,6.0
2023-01-26,DC5->DC8,DC69,DC8,DC69->DC8,6.0
2023-01-26,DC50->DC5,DC50,DC10,DC50->DC10,783.0
2023-01-26,DC51->DC5,DC51,DC10,DC51->DC10,2149.0
2023-01-26,DC52->DC5,DC52,DC70,DC52->DC70,57.0
2023-01-26,DC53->DC5,DC53,DC10,DC53->DC10,115.0
2023-01-26,DC55->DC5,DC55,DC8,DC55->DC8,25.0
2023-01-26,DC59->DC5,DC59,DC70,DC59->DC70,117.0
2023-01-26,DC60->DC5,DC60,DC8,DC60->DC8,367.0
2023-01-26,DC62->DC5,DC62,DC14,DC62->DC14,2751.0
2023-01-26,DC68->DC5,DC68,DC8,DC68->DC8,45.0
2023-01-26,DC69->DC5,DC69,DC8,DC69->DC8,5.0
2023-01-26,DC7->DC5,DC7,DC10,DC7->DC10,131.0
2023-01-26,DC71->DC5,DC71,DC4,DC71->DC4,54.0
2023-01-26,DC73->DC5,DC73,DC10,DC73->DC10,1999.0
2023-01-26,DC8->DC5,DC8,DC10,DC8->DC10,7111.0
2023-01-27,DC10->DC5,DC10,DC9,DC10->DC9,5706.0
2023-01-27,DC14->DC5,DC14,DC62,DC14->DC62,12109.0
2023-01-27,DC15->DC5,DC15,DC14,DC15->DC14,1902.0
2023-01-27,DC17->DC5,DC17,DC14,DC17->DC14,7287.0
2023-01-27,DC19->DC5,DC19,DC62,DC19->DC62,3347.0
